userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_content,sentiment,polarity
A Google user,good 👍,5,0,,2025-03-19 16:57:10,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:20:49,,good,Positive,0.7
A Google user,good,5,0,1.2.5,2025-03-19 13:57:02,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:21:00,1.2.5,good,Positive,0.7
A Google user,easy,5,0,1.2.5,2025-03-19 09:55:33,,,1.2.5,easy,Positive,0.43333333333333335
A Google user,Good apps,5,0,1.2.5,2025-03-19 05:43:55,,,1.2.5,good apps,Positive,0.7
A Google user,awesome,5,0,1.2.5,2025-03-19 03:36:41,,,1.2.5,awesome,Positive,1.0
A Google user,easy to use,5,0,1.2.5,2025-03-18 23:18:21,,,1.2.5,easy to use,Positive,0.43333333333333335
A Google user,nice 👍,5,0,1.2.5,2025-03-18 21:19:45,Thank you for the awesome feedback!,2025-04-04 16:20:59,1.2.5,nice,Positive,0.6
A Google user,good and smooth..,5,0,1.2.5,2025-03-18 20:36:22,,,1.2.5,good and smooth,Positive,0.55
A Google user,Good,5,0,1.2.5,2025-03-18 16:44:34,,,1.2.5,good,Positive,0.7
A Google user,GOOD,5,0,1.2.5,2025-03-18 10:46:34,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:21:11,1.2.5,good,Positive,0.7
A Google user,best,5,0,1.2.5,2025-03-17 23:22:06,,,1.2.5,best,Positive,1.0
A Google user,Good,5,0,1.2.4,2025-03-17 17:20:10,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:21:10,1.2.4,good,Positive,0.7
A Google user,Very good,5,0,1.2.5,2025-03-16 21:21:36,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:21:20,1.2.5,very good,Positive,0.9099999999999999
A Google user,"Boleh isi minyak x perlu pergi kaunter haha. Tapi kalau boleh improve, macam Setel ada sistem wallet so kira boleh topup wallet instead of direct guna kad. Hesitate nak isi minyak di shell sebab malas pergi kaunter tapi ngn app nie, rajin dh pgi shell daripada petronas HAHAH",5,0,1.2.5,2025-03-16 18:24:03,,,1.2.5,boleh isi minyak x perlu pergi kaunter haha tapi kalau boleh improve macam setel ada sistem wallet so kira boleh topup wallet instead of direct guna kad hesitate nak isi minyak di shell sebab malas pergi kaunter tapi ngn app nie rajin dh pgi shell daripada petronas hahah,Positive,0.15000000000000002
A Google user,Very good,5,0,1.2.4,2025-03-16 12:41:35,,,1.2.4,very good,Positive,0.9099999999999999
A Google user,Love it,5,0,1.2.5,2025-03-16 07:22:30,,,1.2.5,love it,Positive,0.5
A Google user,disini Baik ya kasirnya the best all emang,5,0,,2025-03-16 06:48:02,,,,disini baik ya kasirnya the best all emang,Positive,1.0
A Google user,"💯 Satisfied in All Category 😁 Good Relationship, with Customer, Friendly Movements, Updates 👍 refueling at shell oil service 🐕‍🦺 performance of engine Smooth, Good milage, Engine Long life , Hat's of to MD All Teams in various Portfolios, Category as i have Met All india Manager in Yeshwantpur Co Shell out with 2 Executives 1 from Japan & Malaysia it was an opportunity to meet 3 Official's of the Shell Co i was introduced as a Regular customer of Shell 👍💯😎 Best out of the Rest. in",5,0,1.2.5,2025-03-16 06:04:37,Thank you for the awesome feedback!,2025-04-04 16:21:31,1.2.5,satisfied in all category good relationship with customer friendly movements updates refueling at shell oil service performance of engine smooth good milage engine long life hats of to md all teams in various portfolios category as i have met all india manager in yeshwantpur co shell out with executives from japan malaysia it was an opportunity to meet officials of the shell co i was introduced as a regular customer of shell best out of the rest in,Positive,0.4027777777777778
A Google user,Amazing app,5,0,1.2.5,2025-03-16 00:39:10,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:21:52,1.2.5,amazing app,Positive,0.6000000000000001
A Google user,Excellent fuel,5,0,1.2.5,2025-03-15 15:41:55,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:22:03,1.2.5,excellent fuel,Positive,1.0
A Google user,"pelayanan memuaskan gk ada komplain tapi klo bisa kasih masukan, tolong update aplikasinya untuk availability setiap Lokasi Pom Shell, karena lokasi pom nya masih jauh² dan kalo udah datang ternyata bbm nya kosong kan agak kecewa juga",5,0,1.2.5,2025-03-15 12:56:31,,,1.2.5,pelayanan memuaskan gk ada komplain tapi klo bisa kasih masukan tolong update aplikasinya untuk availability setiap lokasi pom shell karena lokasi pom nya masih jauh dan kalo udah datang ternyata bbm nya kosong kan agak kecewa juga,Neutral,0.0
A Google user,I love shell,5,0,1.2.5,2025-03-15 10:49:31,,,1.2.5,i love shell,Positive,0.5
A Google user,Super,5,0,1.2.5,2025-03-15 09:25:19,,,1.2.5,super,Positive,0.3333333333333333
A Google user,👍 good,5,0,1.2.5,2025-03-14 21:00:10,Thank you for the awesome feedback!,2025-04-04 16:22:13,1.2.5,good,Positive,0.7
A Google user,Good apps,5,0,1.2.5,2025-03-14 20:11:00,,,1.2.5,good apps,Positive,0.7
A Google user,Tolong tambah fitur shell pay donk,5,0,1.2.5,2025-03-14 13:54:17,,,1.2.5,tolong tambah fitur shell pay donk,Neutral,0.0
A Google user,The Greatest,5,0,1.2.5,2025-03-14 00:23:30,,,1.2.5,the greatest,Positive,1.0
A Google user,"The trusted of the fuel gas and good quality, services and many promo, That's my experience. My suggestion is to increase the number of gas stations.",5,20,1.2.5,2025-03-13 22:05:00,,,1.2.5,the trusted of the fuel gas and good quality services and many promo thats my experience my suggestion is to increase the number of gas stations,Positive,0.6
A Google user,Good she'll Asia application registration done and reward and points,5,0,1.2.5,2025-03-13 14:52:39,We are glad you like the experience. Hope to make your every journey more rewarding!,2025-04-04 16:22:38,1.2.5,good shell asia application registration done and reward and points,Positive,0.7
A Google user,Exceptional service,5,0,1.2.5,2025-03-13 08:24:29,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:22:34,1.2.5,exceptional service,Positive,0.6666666666666666
A Google user,Shell is a good petrol pump ⛽... Very nice and service very fast ⏩⏩⏩,5,0,,2025-03-12 18:38:43,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:22:34,,shell is a good petrol pump very nice and service very fast,Positive,0.58
A Google user,Good,5,0,1.2.5,2025-03-12 18:34:40,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:22:45,1.2.5,good,Positive,0.7
A Google user,it's greats,5,0,1.2.5,2025-03-12 17:36:51,,,1.2.5,its greats,Neutral,0.0
A Google user,Best rewards and services 👌,5,0,1.2.5,2025-03-12 15:12:24,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:22:55,1.2.5,best rewards and services,Positive,1.0
A Google user,Ok,5,0,1.2.5,2025-03-12 08:30:57,,,1.2.5,ok,Positive,0.5
A Google user,Ok,5,0,1.2.5,2025-03-11 21:32:49,,,1.2.5,ok,Positive,0.5
A Google user,Good,5,0,1.2.5,2025-03-11 20:58:02,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:23:06,1.2.5,good,Positive,0.7
A Google user,Good 👍 app 💯,5,0,1.2.5,2025-03-11 17:10:24,Thank you for the awesome feedback!,2025-04-04 16:23:06,1.2.5,good app,Positive,0.7
A Google user,good,5,0,1.2.5,2025-03-11 15:29:53,,,1.2.5,good,Positive,0.7
A Google user,good,5,0,1.2.5,2025-03-11 14:26:31,Thank you for the awesome feedback!,2025-04-04 16:23:16,1.2.5,good,Positive,0.7
A Google user,Easy to use.,5,0,1.2.5,2025-03-10 20:42:20,,,1.2.5,easy to use,Positive,0.43333333333333335
A Google user,It is user friendly.,5,0,1.2.5,2025-03-10 18:58:54,,,1.2.5,it is user friendly,Positive,0.375
A Google user,Good,5,0,1.2.5,2025-03-10 17:55:55,Thank you for the awesome feedback!,2025-04-04 16:23:27,1.2.5,good,Positive,0.7
A Google user,nice,5,0,,2025-03-10 14:12:24,,,,nice,Positive,0.6
A Google user,Mantabbb gannn,5,0,1.2.5,2025-03-10 10:13:38,,,1.2.5,mantabbb gannn,Neutral,0.0
A Google user,Super,5,0,1.2.5,2025-03-09 20:16:57,Thank you for the awesome feedback!,2025-04-04 16:23:37,1.2.5,super,Positive,0.3333333333333333
A Google user,As good as the station 👍🏻👍🏻,5,0,1.2.5,2025-03-09 18:38:44,,,1.2.5,as good as the station,Positive,0.7
A Google user,So far good,5,0,1.2.5,2025-03-09 16:57:34,,,1.2.5,so far good,Positive,0.39999999999999997
A Google user,"Aplikasi nya baguusss,, cuman kalo mau scan harus turun dan jalan dulu ke kasir, hari ini pertama nyoba pake shell v power jos banget motor nya ngacirrrrr 🔥🔥🔥",5,0,1.2.5,2025-03-09 16:15:41,,,1.2.5,aplikasi nya baguusss cuman kalo mau scan harus turun dan jalan dulu ke kasir hari ini pertama nyoba pake shell v power jos banget motor nya ngacirrrrr,Neutral,0.0
A Google user,Good experience and rewards,5,0,,2025-03-09 12:32:55,,,,good experience and rewards,Positive,0.7
A Google user,Ok,5,0,1.2.5,2025-03-09 12:19:04,,,1.2.5,ok,Positive,0.5
A Google user,Excellent performance,5,0,1.2.5,2025-03-09 12:05:32,Thank you for the awesome feedback!,2025-04-04 16:23:48,1.2.5,excellent performance,Positive,1.0
A Google user,good shell,5,0,1.2.5,2025-03-09 05:14:05,,,1.2.5,good shell,Positive,0.7
A Google user,Good apptho,5,0,1.2.5,2025-03-08 21:17:30,We are glad you liked the experience! Keep visiting us to make very journey rewarding.,2025-04-04 16:23:59,1.2.5,good apptho,Positive,0.7
A Google user,Great fuel with great benefits,5,0,1.2.5,2025-03-08 20:03:01,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:23:58,1.2.5,great fuel with great benefits,Positive,0.8
A Google user,Easy to redeem and a bit cheaper..love it,5,0,,2025-03-08 18:31:18,,,,easy to redeem and a bit cheaperlove it,Positive,0.43333333333333335
A Google user,Versatile,5,0,1.2.5,2025-03-08 12:53:08,Thank you for the awesome feedback!,2025-04-04 16:24:09,1.2.5,versatile,Neutral,0.0
A Google user,Good,5,0,1.2.5,2025-03-08 12:16:27,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:24:09,1.2.5,good,Positive,0.7
A Google user,Good,5,0,,2025-03-08 02:59:17,,,,good,Positive,0.7
A Google user,With shell there is a amazing experience,5,0,1.2.5,2025-03-07 17:13:01,We are glad you like the experience. Hope to make your every journey more rewarding!,2025-04-04 16:24:19,1.2.5,with shell there is a amazing experience,Positive,0.6000000000000001
A Google user,"Excellent service. Gua abis beli Oli Shell AX7 di Shell select long story short point tersebut ternyata belum masuk ke akun gua padahal biasanya kalo ngisi bensin atau ganti/beli oli langsung masuk point nya. Akhirnya gua chat minta bantuan ke customer service melalui website dan gak lama kemudian langsung masuk point nya, tetapi history transaksi pembelian Oli didalam aplikasi Shell Go+ tetap +0 point. In other words mungkin ada kendala teknis tetapi gua salut customer service nya gercep.",5,0,1.2.5,2025-03-07 14:40:04,,,1.2.5,excellent service gua abis beli oli shell ax di shell select long story short point tersebut ternyata belum masuk ke akun gua padahal biasanya kalo ngisi bensin atau gantibeli oli langsung masuk point nya akhirnya gua chat minta bantuan ke customer service melalui website dan gak lama kemudian langsung masuk point nya tetapi history transaksi pembelian oli didalam aplikasi shell go tetap point in other words mungkin ada kendala teknis tetapi gua salut customer service nya gercep,Positive,0.20625
A Google user,👍good,5,0,1.2.5,2025-03-07 14:17:24,Thank you for the awesome feedback!,2025-04-04 16:24:30,1.2.5,good,Positive,0.7
A Google user,Nice,5,0,1.2.5,2025-03-07 14:10:24,Thank you for the awesome feedback!,2025-04-04 16:24:30,1.2.5,nice,Positive,0.6
A Google user,Good,5,0,1.2.5,2025-03-07 10:32:02,,,1.2.5,good,Positive,0.7
A Google user,The best,5,0,,2025-03-07 02:55:39,,,,the best,Positive,1.0
A Google user,user friendly,5,0,1.2.5,2025-03-06 11:51:14,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:24:40,1.2.5,user friendly,Positive,0.375
A Google user,Polite Staff,5,0,1.2.5,2025-03-06 11:48:40,,,1.2.5,polite staff,Neutral,0.0
A Google user,motor gue pake BBM Shell ngacir kenceng....,5,0,1.2.5,2025-03-06 10:32:38,,,1.2.5,motor gue pake bbm shell ngacir kenceng,Neutral,0.0
A Google user,Nice,5,0,1.2.4,2025-03-05 23:32:47,Thank you for the awesome feedback!,2025-04-04 16:24:54,1.2.4,nice,Positive,0.6
A Google user,Good app,5,0,1.2.5,2025-03-05 21:12:11,,,1.2.5,good app,Positive,0.7
A Google user,Wow,5,0,1.2.5,2025-03-05 21:10:10,Thank you for the awesome feedback!,2025-04-04 16:24:51,1.2.5,wow,Neutral,0.1
A Google user,Good service,5,0,1.2.4,2025-03-05 19:37:05,Thank you for the awesome feedback!,2025-04-04 16:24:51,1.2.4,good service,Positive,0.7
A Google user,👍👍👍,5,0,,2025-03-05 11:06:49,,,,,Neutral,0.0
A Google user,Good ಸೂಪರ್,5,0,1.2.4,2025-03-05 10:31:17,Thank you for the awesome feedback!,2025-04-04 16:25:01,1.2.4,good,Positive,0.7
A Google user,Good,5,0,1.2.5,2025-03-05 07:52:18,,,1.2.5,good,Positive,0.7
A Google user,Good App n friendly.,5,0,1.2.5,2025-03-04 12:44:55,,,1.2.5,good app n friendly,Positive,0.5375
A Google user,GOOOD,5,0,1.2.5,2025-03-04 04:39:15,,,1.2.5,goood,Neutral,0.0
A Google user,Terbaikss..mantepss💪🥳🥳,5,0,1.2.4,2025-03-03 22:35:52,,,1.2.4,terbaikssmantepss,Neutral,0.0
A Google user,Good one,5,0,1.2.5,2025-03-03 12:46:14,,,1.2.5,good one,Positive,0.7
A Google user,top tier gas worth the price for my ride,5,0,1.2.5,2025-03-03 06:58:08,,,1.2.5,top tier gas worth the price for my ride,Positive,0.4
A Google user,"Pertama nyoba Shell terasa banget enak tarikannya dan nyaman, Recommended pokoknya. Tolong banyakin SPBU Shell seluruh Indonesia 👍👍😇",5,0,1.2.5,2025-03-03 02:14:37,,,1.2.5,pertama nyoba shell terasa banget enak tarikannya dan nyaman recommended pokoknya tolong banyakin spbu shell seluruh indonesia,Neutral,0.0
A Google user,Good,5,0,,2025-03-02 14:58:15,Thank you for the awesome feedback!,2025-04-04 16:25:12,,good,Positive,0.7
A Google user,Good,5,0,1.2.5,2025-03-02 08:54:51,,,1.2.5,good,Positive,0.7
A Google user,Good service for Petrol delivery boy,5,0,1.2.5,2025-03-01 23:04:35,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:25:22,1.2.5,good service for petrol delivery boy,Positive,0.7
A Google user,Wow experience,5,0,1.2.5,2025-03-01 17:37:46,We are glad you like the experience. Hope to make your every journey more rewarding!,2025-04-04 16:25:33,1.2.5,wow experience,Neutral,0.1
A Google user,terbaik dari dulu,5,0,,2025-03-01 12:29:01,,,,terbaik dari dulu,Neutral,0.0
A Google user,"Excellently good,convenient & fair prices.",5,0,1.2.2,2025-03-01 09:41:15,,,1.2.2,excellently goodconvenient fair prices,Positive,0.85
A Google user,Good,5,0,,2025-03-01 08:54:49,,,,good,Positive,0.7
A Google user,"terus melayani rakyat indonesia ya kamu, iya kamu shell. (dari customermu 2019)",5,0,1.2.5,2025-02-28 18:14:24,,,1.2.5,terus melayani rakyat indonesia ya kamu iya kamu shell dari customermu,Neutral,0.0
A Google user,User friendly apps..,5,0,1.2.5,2025-02-28 17:03:20,,,1.2.5,user friendly apps,Positive,0.375
