Year,Region,OU,Vendor,Modified_Vendor,PR,PO,PO_Issue_Date,PO_End_Date,PO_Description, Requested_Amount ,Currency,OA,OA_Line_Item,OA_Expiration,OA_Currency,Cost_Center_WBS_Element,Vendor_Code,Material_Group,Plant,Purchasing_Group,Purchasing_Org,GL_Account,Requisitioner,SM_TO_USE,Approver_for_SES_GR,OUTLOOK_CODE,Approver_for_PR,OLD_PO,Note,EXTRA_NOTES,,,
2025,AP,IN,Creative Networks ,Creative Networks,34272632,4546068374,31-01-2025,31-01-2026,Creative Service 2025,"3,00,000.00",INR,4600286549,120,31-12-2026,INR,IN02000456,68104804,KA7267,I387,S1N,IN04,7220175,USLMAN,5253297,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),4537289410,,,,,
2024,AP,IN,EIT Services Private Limited ,EIT SERVICES ,34028426,4544392773,25-06-2024,26-12-2025,Retailer Change over service support 2024,"10,80,000.00",INR,4600607869,60,31-12-2025,INR,IN02000456,68101794,KA7265,I387,OAB,IN04,7450050,USLMAN,5296826,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,Will Top-up in January with exact numbers-Vivek ,,,
2025,AP,IN,EIT Services Private Limited ,EIT SERVICES ,34258827,4545992272,23-01-2025,25-12-2025,Support and Maintenance 2025,"4,09,11,900.00",INR,4600607869,30,31-12-2025,INR,IN02000456,68101794,KA7265,I387,S1N,IN04,7220175,USLMAN,5296825,Vivek Kanthwal,Legacy,Rajesh Jayapaul (INRJAW),4543395112,,,,,
2025,AP,IN,HCIL Comtel Private Limited ,HCIL Comtel,34220801,4545765139,18-12-2024,31-01-2026,EQUIPMENT SERVICES RECURRING 2024-2025,"1,50,00,000.00",INR,4600479498,290,30-09-2029,INR,IN02000446,68110438,KA7142,I387,S1N,IN04,7450050,INGSUM,5270399,DIT,Telecom,Rajesh Jayapaul (INRJAW),4540725037,,,,,
2025,AP,IN,HCIL Comtel Private Limited ,HCIL Comtel,34220821,4545784569,20-12-2024,31-01-2026,Scheduled hardware payouts from 11-2024 till 12-2025,"58,77,531.00",INR,No OA,No OA,No OA,No OA,IN02000446,68110438,KA7142,I387,S1N,IN04,7450050,INGSUM,4033654,Rahul Kaushal,Telecom,Rajesh Jayapaul (INRJAW),,,,,,
2025,AP,IN,Hughes Communication India PVT LTD,HCIPL,34220825,4545765138,18-12-2024,31-01-2026,LINK SERVICES RECURRING 2024-2025,"9,20,00,000.00",INR,4600479499,220,30-09-2029,INR,IN02000446,68070773,KA7142,I387,S1N,IN04,7450050,INGSUM,5270413,DIT,Telecom,Rajesh Jayapaul (INRJAW),4540725027,,,,,
2025,AP,IN,Hollasons Techsolutions,Hollasons,34354547,4546511545,01-04-2025,31-12-2025,"Line Item 100 – RugTek Scanner 60@ 7,030.00 = 421,800.00","4,21,800.00",INR,4600436857,400,30-06-2025,INR,IN02000456,68106548,72DAAA,I387,OAB,IN04,7450200,USLMAN,900012760,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),4545024946,,,,,
2025,AP,IN,Hollasons Techsolutions,Hollasons,34354547,4546511545,01-04-2025,31-12-2025,"Line item 200 – Cash Drawer 20@ 6,480.00 = 129,600.00","1,29,600.00",INR,4600436857,400,30-06-2025,INR,IN02000456,68106548,72DAAA,I387,OAB,IN04,7450200,USLMAN,900012760,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),4545024946,,,,,
2025,AP,IN,Hollasons Techsolutions,Hollasons,34354547,4546511545,01-04-2025,31-12-2025,"Line Item 300 – CMIS Battery 680@ 117.00 = 79,560.00","79,560.00",INR,4600436857,400,30-06-2025,INR,IN02000456,68106548,72DAAA,I387,OAB,IN04,7450200,USLMAN,900012760,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),4545024946,,,,,
2025,AP,IN,IBM India Private Limited,IBM,34258828,4545992271,23-01-2025,31-12-2025,IBM D365 support Year 2025,"1,30,00,000.00",INR,4600531835,60,15-07-2025,INR,IN02000456,68074306,KA7570,I387,S1N,IN04,7220175,USLMAN,5296825,Vivek Kanthwal,Legacy,Rajesh Jayapaul (INRJAW),4543395111,,,,,
2025,AP,IN,PowerBridge ,PowerBridge ,34347063,4546458620,25-03-2025,31-12-2025,AV Licenses Apex ONE as a Service- 600 License renewal Year 2025,"14,70,000.00",INR,4600480780,360,01-04-2026,INR,IN02000456,68111929,KA7263,I387,S1N,IN04,7220175,USLMAN,5275882,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,,,,
2025,AP,IN,Sharify Services Private LTD,Sharify,34279374,4546112355,06-02-2025,31-12-2025,Support services charges year 2025,"90,00,000.00",INR,4600593328,10,31-03-2027,INR,IN02000456,68117708,KA7550,I387,S1N,IN04,7220175,USLMAN,5293989,Vivek Kanthwal,Legacy,Rajesh Jayapaul (INRJAW),4544672883,,,,,
2025,AP,IN,TRION LOGISTICS India PVT LTD,TRION LOGISTICS,34272638,4546068375,31-01-2025,31-01-2026,Logistics Services 2025,"12,00,000.00",INR,4600588141,10,31-03-2026,INR,IN02000456,68116889,KA7265,I387,S1N,IN04,7220175,USLMAN,5295347,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),4538348345,,,,,
2025,AP,MY,Capillary PTE LTD,Capillary,34184412,4545602713,05-12-2024,31-12-2025,Loyalty R&M 2025,"12,26,622.19",USD,4600628985,10,15-08-2026,USD,MY05002828,68116983,KA7551,M351,R01,MY04,7220175,USLMAN,5304702,Smitha Prasad;Aritra Kundu,Legacy,Navin Ramudaram (MYNRB9),4540833063,,,,,
2024,AP,MY,Diebold Nixdorf SDN BDH,Diebold Nixdorf,33858169,4543337464,05-02-2024,31-01-2025,Line item 100- Remote Support Site Field Eng./Svc Mgmt. 2024,"49,96,639.77",MYR,4600541722,10,31-08-2024,MYR,MY05001909,68081883,KA7265,M352,R00,MY04,7220175,USLMAN,5286961,Rahmad-Faisal Ismail,GSS,Navin Ramudaram (MYNRB9),4540386049,SES 1889530750 is the last for this PO. (Against line item 200) once it's processed the PO can be closed per Faisal on 04/11/2025. - LRM,,,,
2024,AP,MY,Diebold Nixdorf SDN BDH,Diebold Nixdorf,33858169,4543337464,05-02-2024,31-01-2025,Line item 200 -Discretionary Services & Non-Standard Call 2024,"4,08,000.00",MYR,4600541722,10,31-08-2024,MYR,MY05001909,68081883,KA7265,M352,R00,MY04,7220175,USLMAN,5286961,Rahmad-Faisal Ismail,GSS,Navin Ramudaram (MYNRB9),4540386049,SES 1889530750 is the last for this PO. (Against line item 200) once it's processed the PO can be closed per Faisal on 04/11/2025. - LRM,,,,
2025,AP,MY,Invenco Asia SDN BHD,Invenco,34242577,4545899950,08-01-2025,31-01-2026,Software Licence Fee 2025,"70,68,434.00",MYR,4600633240,10,31-08-2027,MYR,MY05001909,68118037,KA7500,M352,S1N,MY04,7220175,USLMAN,5303912,Rahmad-Faisal Ismail,Legacy,Navin Ramudaram (MYNRB9),4543337489,,,,,
2025,AP,MY,Maxis BroadBand SDN. BHD.,Maxis,34212293,4545731905,13-12-2024,31-01-2026,Telecom Invoices 2025,"1,62,00,000.00",MYR,4600471387,20,30-11-2025,MYR,MY05001630,68003261,KA6010,M351,S1N,MY04,7450050,INGSUM,5277446,DIT,Telecom,Navin Ramudaram (MYNRB9),4543353974,,,,,
2025,AP ,MY,Silentmode SDN,Silentmode,34242573,4545899949,13-01-2025,31-01-2026, SAAS Licence Fee 2025,"1,01,51,632.80",MYR,4600611763,10,30-06-2027,MYR,MY05001909,68113237,KA7500,M352,S1N,MY04,7220175,USLMAN,5253662,Rahmad-Faisal Ismail,Legacy,Navin Ramudaram (MYNRB9),4543337486,,,,,
2025,AP ,MY,STRATEQ SYSTEMS CO LTD,Strateq,34242682,4545899947,08-01-2025,31-01-2026,Line item 100-Manage Engine 2025,"6,25,000.00",MYR,4600649995,10,22-01-2028,MYR,MY05001909,68074905,KA7500,M352,S1N,MY04,7220175,USLMAN,5253662,Rahmad-Faisal Ismail,Legacy,Navin Ramudaram (MYNRB9),4543337443,,,,,
2025,AP ,MY,STRATEQ SYSTEMS CO LTD,Strateq,34242682,4545899947,08-01-2025,31-01-2026,Line item 200 - 2025 Discretionary Service ,"6,66,000.00",MYR,4600649995,10,22-01-2028,MYR,MY05001909,68074905,KA7500,M352,S1N,MY04,7220175,USLMAN,5253662,Rahmad-Faisal Ismail,Legacy,Navin Ramudaram (MYNRB9),4543337443,,,,,
2025,AP ,MY,STRATEQ SYSTEMS CO LTD,Strateq,34242682,4545899947,08-01-2025,31-01-2026,Line item 300- 2025 Remote/FE/Service Management Fee,"1,19,50,230.00",MYR,4600649995,10,22-01-2028,MYR,MY05001909,68074905,KA7500,M352,S1N,MY04,7220175,USLMAN,5253662,Rahmad-Faisal Ismail,Legacy,Navin Ramudaram (MYNRB9),4543337443,,,,,
2025,AP,PH,Abenson ,Abenson ,34341696,4546445038,24-03-2025,31-12-2025,Abenson March 2025 Swapstock - CHUWI NBK HEROBOOK PRO,"5,71,428.40",PHP,4600698419,20,31-10-2028,PHP,PH01001318,68076732,56DAAB,P007,S1N,PH04,7220175,USLMAN,900017315,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34201401,4545593304,25-11-2024,31-01-2026,IT Operation /Service Management support 2025,"3,27,83,580.00",PHP,4600643382,10,31-12-2025,PHP,PH01001318,68049188,KA7410,P007,S1N,PH04,7220175,USLMAN,5304712,Mark Jared Waje,Legacy,Smile Gillegean (PHSCH0),,,"Need to inform requestor to follow up with Tabbee Bagadion-Puertas with the following:  PR no, Amount, Description of the product/service; For which period we are paying. If this is one time, please indicate one time; Purpose of the product. (Tabbee will give Smile his approval.)",,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34257144,4545959973,16-01-2025,31-12-2025,IT support Discretionary charges covering 2025,"5,40,000.00",PHP,4600643382,10,31-12-2025,PHP,PH01001318,68049188,PB9764,P007,S1N,PH04,7220175,USLMAN,5304712,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34201416,4545593306,25-11-2024,31-01-2026,Warehousing and Additional ASC Year 2025,"93,30,000.00",PHP,4600643382,10,31-12-2025,PHP,PH01001318,68049188,KA7410,P007,S1N,PH04,7220175,USLMAN,5304712,Mark Jared Waje,Legacy,Smile Gillegean (PHSCH0),,,"Need to inform requestor to follow up with Tabbee Bagadion-Puertas with the following:  PR no, Amount, Description of the product/service; For which period we are paying. If this is one time, please indicate one time; Purpose of the product. (Tabbee will give Smile his approval.)",,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34363370,4546578713,10-04-2025,31-01-2026,Belfast Lubebay POS installation 2025,"42,698.00",PHP,4600643382,10,31-12-2025,PHP,PH01000494,68049188,PB9764,P007,S1N,PH04,7220175,USLMAN,5304712,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34366356,4546621963,16-04-2025,31-01-2026,Line Item 100: Micro USB OTG Dongle 150.00 @20,"3,000.00",PHP,4600646941,190,31-12-2025,PHP,PH01001318,68049188,72CEAA,P007,S1N,PH04,7220175,USLMAN,900018416,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34366356,4546621963,16-04-2025,31-01-2026,Line Item 200: HDMI-Display Port Adapter 600.00 @50,"30,000.00",PHP,4600646941,170,31-12-2025,PHP,PH01001318,68049188,93AAAA,P007,S1N,PH04,7220175,USLMAN,101052123,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,DataLogic Systems Corp,Datalogic,34366356,4546621963,16-04-2025,31-01-2026,Line Item 300: EDC Cable 500.00 @50,"25,000.00",PHP,4600646941,110,31-12-2025,PHP,PH01001318,68049188,67AAAA,P007,S1N,PH04,7220175,USLMAN,101037457,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,"EQUITABLE COMPUTER SERVICES, INC.",ECS,34201417,4545593308,25-11-2024,31-12-2025,ECS -DNS Server Deployment,"23,43,670.00",PHP,4600591378,20,31-12-2026,PHP,PH01001318,68116857,KA7265,P007,S1N,PH04,7220175,USLMAN,5293712,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,INNOVE COMMUNICATIONS INC,Globe Telecom,34229062,4545804361,29-12-2024,31-01-2026,Telecom R&M 2025,"8,00,00,000.00",PHP,4600462392,40,31-12-2026,PHP,PH01001122,68049303,KA7142,P007,S1N,PH04,7220175,USLMAN,5266671,DIT,Telecom,Tabbee Bagadion-Puertas (PHTBA5),4532347010,,,,,
2025,AP,PH,Microbase Inc.,Microbase,34329280,4546361898,12-03-2025,31-12-2025,"Line item 100: KEYBOARD,USB,LENOVO,LNV4Y41C68642,BLACK 850.00 @40","34,000.00",PHP,4600690317,200,13-08-2025,PHP,PH01001318,68048964,72CEAA,P007,S1N,PH04,7220175,USLMAN,100920144,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Microbase Inc.,Microbase,34329280,4546361898,12-03-2025,31-12-2025,"Line item 200: MONITOR,LENOVO,61E0KAR6WW,18.5in 4725.00 @40","1,89,000.00",PHP,4600690317,60,13-08-2025,PHP,PH01001318,68048964,72DAAA,P007,S1N,PH04,7220175,USLMAN,101047867,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Microbase Inc.,Microbase,34329280,4546361898,12-03-2025,31-12-2025,"Line Item 300: PRINTERS,THERMAL,EPSON,C31CH51542 13500.00 @40","8,12,000.00",PHP,4600690317,30,13-08-2025,PHP,PH01001318,68048964,72DFAA,P007,S1N,PH04,7220175,USLMAN,101047866,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Microbase Inc.,Microbase,34329280,4546361898,12-03-2025,31-12-2025,"Line item 400: TOUCH PANEL,EC-LINE,EXTS-18 USB 20300.00 @40","5,40,000.00",PHP,4600690317,40,13-08-2025,PHP,PH01001318,68048964,93AAAA,P007,S1N,PH04,7220175,USLMAN,101044917,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Microbase Inc.,Microbase,34329280,4546361898,12-03-2025,31-12-2025,"Line item 500: UNINTERRUPTED PWR SPLY,INOCHI,ODBAT12V+ 1035 @200","2,07,000.00",PHP,4600690317,140,13-08-2025,PHP,PH01001318,68048964,65DAAA,P007,S1N,PH04,7220175,USLMAN,100920133,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2024-2025,AP,PH,Petrosoft LLC,Petrosoft,34168975,4545515271,15-11-2024,31-12-2025,PH StoreOffice Annual Subscript 2025,"3,47,182.00", USD ,4600577102,60,10-12-2026,USD,PH01001318,68104624,KA7500,P007,O8F,PH04,7220175,USLMAN,5304484,Uma Maheshari Sharma ,Legacy,Smile Gillegean (PHSCH0),4540251112,"Po increased on 12/16/2024 original amount was 346,882.","Need to inform requestor to follow up with Tabbee Bagadion-Puertas with the following:  PR no, Amount, Description of the product/service; For which period we are paying. If this is one time, please indicate one time; Purpose of the product. (Tabbee will give Smile his approval.)",,,
2025,AP,PH,Sunlink,Sunlink,34343174,4546445039,24-03-2025,31-12-2025,"Line item 100: CASH DRAWER,EC LINE,15.7X15.8X3.3in 4200.00 @40","1,68,000.00",PHP,4600694936,50,07-09-2025,PHP,PH01001318,68121776,56BAAA,P007,S1N,PH04,7220175,USLMAN,101038321,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Sunlink,Sunlink,34343174,4546445039,24-03-2025,31-12-2025,"Line item 200: PRINTER,WIRELESS,AIO,HP,1TJ09A 9428.57 @30","2,82,857.10",PHP,4600694936,40,07-09-2025,PHP,PH01001318,68121776,72DFAA,P007,S1N,PH04,7220175,USLMAN,101036758,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,PH,Sunlink,Sunlink,34343174,4546445039,24-03-2025,31-12-2025,"Line Item 300:LAPTOP BATTERY,2969G5,CHUWI 2700.00 @30","81,000.00",PHP,4600694936,100,07-09-2025,PHP,PH01001318,68121776,72CEAA,P007,S1N,PH04,7220175,USLMAN,101076539,Mark Jared Waje,Legacy,Tabbee Bagadion-Puertas (PHTBA5),,,,,,
2025,AP,SG,BT SINGAPORE PTE LTD,BT/Mako,34212301,4545717081,12-12-2024,31-01-2026,Telecom Invoices 2025,"2,46,000.00",SGD,4600766955,20,31-05-2026,SGD,SG01200609,68106498,KA7142,S826,S1N,SG04,7450050,USLMAN,5350633,DIT,Telecom,Anthony Mistry (NLAMIJ),4543134270,,,,,
2025,AP,SG,CAPILLARY PTE. LTD.,Capillary,34184412,4545499424,13-11-2024,31-12-2025,Loyalty R&M 2025,"2,27,574.00",USD,4600606586,10,15-08-2026,USD,SG01200642,68116983,KA7551,S826,R63,SG04,7220175,USLMAN,5304705,Aritra Kundu,Legacy,Anthony Mistry (NLAMIJ),4540824764,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34187385,4545506946,14-11-2024,31-03-2025,POS & EPS BEETLE UPGRADE,"15,511.94",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,R61,SG04,7220175,USLMAN,5285165,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34187384,4545506944,14-11-2024,31-03-2025,G6-100 YELLOW OPT Deployment,"90,705.50",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,R61,SG04,7220175,USLMAN,5285165,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34266146,4546036356,27-01-2025,31-12-2025,"NAMOS Core Annual Software Maintenance and L3 Support - H1, 2025","32,426.38",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,S1N,SG04,7220175,USLMAN,5285139,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34266124,4546036354,27-01-2025,31-12-2025,"Line 100 - SG L1/L2/FE/SDM Support H1, 2025 ","11,64,990.00",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,S1N,SG04,7220175,USLMAN,5285139,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34266124,4546036354,27-01-2025,31-12-2025,Line 200 - SG Discretionary Services 2025,"20,000.00",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,S1N,SG04,7220175,USLMAN,5285139,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34266124,4546036354,27-01-2025,31-12-2025,Line 300 - OPT Software and Storage 2025,"83,199.00",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7500,S826,S1N,SG04,7220175,USLMAN,5285139,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2024-2025,AP,SG,Diebold Nixdorf SINGAPORE PTE LTD,Diebold Nixdorf,34047283,4544522676,11-07-2024,31-12-2025,"NAMOS Core Annual SW Maint. & L3 Support - H2, 2024","32,426.24",SGD,4600525716,10,31-12-2025,SGD,SG01200642,68080170,KA7267,S826,R61,SG04,7220175,USLMAN,5285139,Ku intan Suhaila Ku-Ishak,GSS,Anthony Mistry (NLAMIJ),,,,,,
2024,AP,SG,MS MEDIA PTE LTD,MS Media ,33839585,4543448881,20-02-2024,31-03-2025,Pumplight LED Monthly Replacement 2024,"15,000.00",SGD,4600690707,20,15-09-2026,SGD,SG01200642,68102809,KA7500,S826,R98,SG04,7220175,USLMAN,5234656,Ku intan Suhaila Ku-Ishak,Legacy,Anthony Mistry (NLAMIJ),4540778626,Outstanding invoice until December 2024-Intan,Ms-media has one more charges to this PO. The PO can be closed once the invoice is settled. 02/04/2025-Intan,,,
2025,AP,SG,MS MEDIA PTE LTD,MS Media ,34182528,4545499417,13-11-2024,31-12-2025,Pumplight LED Monthly Replacement 2025,"15,000.00",SGD,4600690707,20,15-09-2026,SGD,SG01200642,68102809,KA7500,S826,R98,SG04,7220175,USLMAN,5313988,Ku intan Suhaila Ku-Ishak,Legacy,Anthony Mistry (NLAMIJ),4543448881,,,,,
2025,AP,SG,MS MEDIA PTE LTD,MS Media ,34347177,4546511295,01-04-2025,25-05-2025,Support & Maintenance Warranty Renewal 2025,"63,980.00",SGD,4600690707,20,15-09-2026,SGD,SG01200642,68102809,KA7500,S826,S1N,SG04,7220175,USLMAN,5234656,Ku intan Suhaila Ku-Ishak,Legacy,Anthony Mistry (NLAMIJ),,,,,,
2025,AP,TH,"1-TO-ALL CO., LTD",1-to-All,34213783,4545775946,19-12-2024,31-01-2026,Telecom R&M 2025,"3,51,48,615.31",THB,4600770228,10,30-09-2026,THB,GB30000451,68123734,KA7142,T001,OB3,TH04,7450050,USLMAN,5350599,DIT,Telecom,Sirithorn Singhaphan (THSSI0),4543249737,,,,,
2025,AP,TH,"1-TO-ALL CO., LTD",1-to-All,34229412,4545775949,19-12-2024,31-12-2025,DO site monthly Telecom service 2025,"55,00,000.00",THB,4600770228,20,30-09-2026,THB,GB30000451,68123734,KA7135,T001,R2A,TH04,7220175,USLMAN,5351144,Chanavee Bangboonrit,Legacy,Sirithorn Singhaphan (THSSI0),,,,,,
2024,AP,TH,Jasmine Technology Solution PCL,JTS,34018568,4544340215,18-06-2024,30-04-2025,Envoy and Antivirus Cloud Services,"4,61,880.00",THB,4600500199,10,31-10-2025,THB,GB30000466,68107394,KA7142,T001,R2A,TH04,7220175,USLMAN,5277488,Chanavee Bangboonrit,Legacy,Sirithorn Singhaphan (THSSI0),,Still checking the payment receive with vendor-Chanavee 02/01/2025,"PO item text must include detail of scope of work, this is to be provided by the MITOM",,,
